No,Model,Optimizer,Activation,Time Steps,Dropout Rate,MSE,RMSE,MAE,MAPE
83,cnn_adam_relu_ts5_d1,adam,relu,5,0.01,0.87463,0.93522,0.66847,2.59797
84,cnn_adam_relu_ts5_d5,adam,relu,5,0.05,1.10406,1.05074,0.74839,2.90018
85,cnn_adam_relu_ts5_d10,adam,relu,5,0.1,0.79716,0.89284,0.70163,2.71111
86,cnn_adam_relu_ts5_d15,adam,relu,5,0.15,0.90208,0.94978,0.71858,2.77274
87,cnn_adam_relu_ts5_d20,adam,relu,5,0.2,0.63176,0.79483,0.61681,2.39538
88,cnn_adam_relu_ts10_d1,adam,relu,10,0.01,0.68986,0.83058,0.67965,2.63080
89,cnn_adam_relu_ts10_d5,adam,relu,10,0.05,0.43078,0.65634,0.52204,2.04865
90,cnn_adam_relu_ts10_d10,adam,relu,10,0.1,0.60601,0.77847,0.57945,2.25117
91,cnn_adam_relu_ts10_d15,adam,relu,10,0.15,0.89308,0.94503,0.74160,2.85510
92,cnn_adam_relu_ts10_d20,adam,relu,10,0.2,0.61686,0.78541,0.58645,2.27651
93,cnn_adam_relu_ts15_d1,adam,relu,15,0.01,0.56064,0.74876,0.57620,2.23943
94,cnn_adam_relu_ts15_d5,adam,relu,15,0.05,0.51205,0.71558,0.56160,2.20603
95,cnn_adam_relu_ts15_d10,adam,relu,15,0.1,0.66322,0.81438,0.64149,2.50439
96,cnn_adam_relu_ts15_d15,adam,relu,15,0.15,0.46950,0.68520,0.53157,2.07708
97,cnn_adam_relu_ts15_d20,adam,relu,15,0.2,0.61549,0.78453,0.63527,2.46931
98,cnn_adam_tanh_ts5_d1,adam,tanh,5,0.01,0.60533,0.77803,0.56403,2.19611
99,cnn_adam_tanh_ts5_d5,adam,tanh,5,0.05,0.58411,0.76427,0.57744,2.24827
100,cnn_adam_tanh_ts5_d10,adam,tanh,5,0.1,0.56585,0.75223,0.61123,2.37324
101,cnn_adam_tanh_ts5_d15,adam,tanh,5,0.15,0.53371,0.73055,0.57453,2.23792
102,cnn_adam_tanh_ts5_d20,adam,tanh,5,0.2,0.63653,0.79783,0.62350,2.41896
103,cnn_adam_tanh_ts10_d1,adam,tanh,10,0.01,0.39399,0.62768,0.48009,1.88093
