No,Model,Optimizer,Activation,Time Steps,Dropout Rate,MSE,RMSE,MAE,MAPE
248,gru_adam_relu_ts5_d15,adam,relu,5,0.15,0.78585,0.88648,0.64243,2.48775
249,gru_adam_relu_ts5_d20,adam,relu,5,0.2,0.57185,0.75621,0.54327,2.12154
250,gru_adam_relu_ts10_d1,adam,relu,10,0.01,0.44512,0.66717,0.48238,1.88845
251,gru_adam_relu_ts10_d5,adam,relu,10,0.05,0.45347,0.67340,0.49311,1.93110
252,gru_adam_relu_ts10_d10,adam,relu,10,0.1,0.54519,0.73837,0.54889,2.13366
253,gru_adam_relu_ts10_d15,adam,relu,10,0.15,0.41771,0.64631,0.48732,1.90391
254,gru_adam_relu_ts10_d20,adam,relu,10,0.2,0.60959,0.78076,0.57304,2.22710
255,gru_adam_relu_ts15_d1,adam,relu,15,0.01,0.37387,0.61145,0.45735,1.78159
256,gru_adam_relu_ts15_d5,adam,relu,15,0.05,0.57619,0.75907,0.57587,2.23106
257,gru_adam_relu_ts15_d10,adam,relu,15,0.1,0.46442,0.68148,0.50149,1.95575
258,gru_adam_relu_ts15_d15,adam,relu,15,0.15,0.31337,0.55980,0.42043,1.64756
259,gru_adam_relu_ts15_d20,adam,relu,15,0.2,0.44828,0.66953,0.51809,2.01127
260,gru_adam_tanh_ts5_d1,adam,tanh,5,0.01,0.43790,0.66174,0.52628,2.04424
261,gru_adam_tanh_ts5_d5,adam,tanh,5,0.05,0.36219,0.60182,0.46158,1.80348
262,gru_adam_tanh_ts5_d10,adam,tanh,5,0.1,0.33649,0.58007,0.43977,1.72692
263,gru_adam_tanh_ts5_d15,adam,tanh,5,0.15,0.38991,0.62443,0.48579,1.89280
264,gru_adam_tanh_ts5_d20,adam,tanh,5,0.2,0.35125,0.59267,0.45987,1.79750
265,gru_adam_tanh_ts10_d1,adam,tanh,10,0.01,0.35026,0.59183,0.45269,1.76786
266,gru_adam_tanh_ts10_d5,adam,tanh,10,0.05,0.35599,0.59665,0.45556,1.77728
267,gru_adam_tanh_ts10_d10,adam,tanh,10,0.1,0.30670,0.55380,0.41030,1.61593
268,gru_adam_tanh_ts10_d15,adam,tanh,10,0.15,0.35860,0.59883,0.45944,1.79344
269,gru_adam_tanh_ts10_d20,adam,tanh,10,0.2,0.32952,0.57403,0.42807,1.68045
270,gru_adam_tanh_ts15_d1,adam,tanh,15,0.01,0.29220,0.54056,0.41063,1.60946
271,gru_adam_tanh_ts15_d5,adam,tanh,15,0.05,0.31452,0.56082,0.41933,1.63965
272,gru_adam_tanh_ts15_d10,adam,tanh,15,0.1,0.33658,0.58015,0.43780,1.70763
273,gru_adam_tanh_ts15_d15,adam,tanh,15,0.15,0.31124,0.55789,0.41648,1.63049
274,gru_adam_tanh_ts15_d20,adam,tanh,15,0.2,0.34270,0.58541,0.44653,1.73858
275,gru_adam_sigmoid_ts5_d1,adam,sigmoid,5,0.01,0.33492,0.57872,0.44100,1.74567
276,gru_adam_sigmoid_ts5_d5,adam,sigmoid,5,0.05,0.42398,0.65114,0.52534,2.05047
277,gru_adam_sigmoid_ts5_d10,adam,sigmoid,5,0.1,0.37068,0.60884,0.47617,1.87755
278,gru_adam_sigmoid_ts5_d15,adam,sigmoid,5,0.15,0.41761,0.64623,0.51368,2.01856
279,gru_adam_sigmoid_ts5_d20,adam,sigmoid,5,0.2,0.56858,0.75404,0.61327,2.39551
280,gru_adam_sigmoid_ts10_d1,adam,sigmoid,10,0.01,0.34941,0.59111,0.45590,1.78955
281,gru_adam_sigmoid_ts10_d5,adam,sigmoid,10,0.05,0.38518,0.62063,0.49146,1.92205
282,gru_adam_sigmoid_ts10_d10,adam,sigmoid,10,0.1,0.54404,0.73759,0.59272,2.31346
283,gru_adam_sigmoid_ts10_d15,adam,sigmoid,10,0.15,0.56225,0.74983,0.58329,2.29670
284,gru_adam_sigmoid_ts10_d20,adam,sigmoid,10,0.2,0.40210,0.63411,0.49227,1.94005
285,gru_adam_sigmoid_ts15_d1,adam,sigmoid,15,0.01,0.31464,0.56093,0.42807,1.68487
286,gru_adam_sigmoid_ts15_d5,adam,sigmoid,15,0.05,0.38964,0.62421,0.49631,1.93562
287,gru_adam_sigmoid_ts15_d10,adam,sigmoid,15,0.1,0.43712,0.66115,0.53443,2.07846
288,gru_adam_sigmoid_ts15_d15,adam,sigmoid,15,0.15,0.51934,0.72065,0.57538,2.23922
289,gru_adam_sigmoid_ts15_d20,adam,sigmoid,15,0.2,0.38229,0.61830,0.48237,1.89542
290,gru_adagrad_relu_ts5_d1,adagrad,relu,5,0.01,0.70710,0.84089,0.65120,2.54669
291,gru_adagrad_relu_ts5_d5,adagrad,relu,5,0.05,0.70118,0.83736,0.65608,2.57768
292,gru_adagrad_relu_ts5_d10,adagrad,relu,5,0.1,0.79514,0.89170,0.68364,2.66703
293,gru_adagrad_relu_ts5_d15,adagrad,relu,5,0.15,0.73588,0.85783,0.65515,2.55399
294,gru_adagrad_relu_ts5_d20,adagrad,relu,5,0.2,0.71654,0.84649,0.65016,2.54118
295,gru_adagrad_relu_ts10_d1,adagrad,relu,10,0.01,0.76290,0.87344,0.66373,2.59249
296,gru_adagrad_relu_ts10_d5,adagrad,relu,10,0.05,0.61073,0.78149,0.60222,2.34703
297,gru_adagrad_relu_ts10_d10,adagrad,relu,10,0.1,0.65042,0.80649,0.62156,2.43332
298,gru_adagrad_relu_ts10_d15,adagrad,relu,10,0.15,0.77223,0.87877,0.67796,2.65286
299,gru_adagrad_relu_ts10_d20,adagrad,relu,10,0.2,0.65741,0.81081,0.62178,2.42628
300,gru_adagrad_relu_ts15_d1,adagrad,relu,15,0.01,0.64048,0.80030,0.61620,2.40153
301,gru_adagrad_relu_ts15_d5,adagrad,relu,15,0.05,0.68973,0.83050,0.63527,2.46545
302,gru_adagrad_relu_ts15_d10,adagrad,relu,15,0.1,0.66501,0.81548,0.62734,2.44105
303,gru_adagrad_relu_ts15_d15,adagrad,relu,15,0.15,0.59513,0.77144,0.60123,2.34376
304,gru_adagrad_relu_ts15_d20,adagrad,relu,15,0.2,0.62895,0.79306,0.61897,2.41599
305,gru_adagrad_tanh_ts5_d1,adagrad,tanh,5,0.01,0.54702,0.73961,0.59748,2.33770
306,gru_adagrad_tanh_ts5_d5,adagrad,tanh,5,0.05,0.54423,0.73772,0.58067,2.27485
307,gru_adagrad_tanh_ts5_d10,adagrad,tanh,5,0.1,0.49235,0.70167,0.54667,2.15637
308,gru_adagrad_tanh_ts5_d15,adagrad,tanh,5,0.15,0.57091,0.75559,0.59739,2.33412
309,gru_adagrad_tanh_ts5_d20,adagrad,tanh,5,0.2,0.54779,0.74013,0.58620,2.28685
310,gru_adagrad_tanh_ts10_d1,adagrad,tanh,10,0.01,0.43741,0.66137,0.52147,2.05070
311,gru_adagrad_tanh_ts10_d5,adagrad,tanh,10,0.05,0.50367,0.70970,0.53797,2.11069
312,gru_adagrad_tanh_ts10_d10,adagrad,tanh,10,0.1,0.61872,0.78659,0.61084,2.37653
313,gru_adagrad_tanh_ts10_d15,adagrad,tanh,10,0.15,0.51403,0.71696,0.56284,2.19919
314,gru_adagrad_tanh_ts10_d20,adagrad,tanh,10,0.2,0.50665,0.71180,0.57313,2.24411
315,gru_adagrad_tanh_ts15_d1,adagrad,tanh,15,0.01,0.58461,0.76460,0.58979,2.29175
316,gru_adagrad_tanh_ts15_d5,adagrad,tanh,15,0.05,0.59937,0.77419,0.61931,2.40471
317,gru_adagrad_tanh_ts15_d10,adagrad,tanh,15,0.1,0.46984,0.68545,0.54814,2.14420
318,gru_adagrad_tanh_ts15_d15,adagrad,tanh,15,0.15,0.68166,0.82563,0.64529,2.49801
319,gru_adagrad_tanh_ts15_d20,adagrad,tanh,15,0.2,0.47344,0.68807,0.54436,2.12488
320,gru_adagrad_sigmoid_ts5_d1,adagrad,sigmoid,5,0.01,1.07793,1.03824,0.79839,3.18409
321,gru_adagrad_sigmoid_ts5_d5,adagrad,sigmoid,5,0.05,1.06753,1.03321,0.79613,3.17400
322,gru_adagrad_sigmoid_ts5_d10,adagrad,sigmoid,5,0.1,1.06932,1.03408,0.80084,3.18819
323,gru_adagrad_sigmoid_ts5_d15,adagrad,sigmoid,5,0.15,1.06655,1.03274,0.79413,3.16770
324,gru_adagrad_sigmoid_ts5_d20,adagrad,sigmoid,5,0.2,1.08422,1.04126,0.80179,3.19654
325,gru_adagrad_sigmoid_ts10_d1,adagrad,sigmoid,10,0.01,1.01459,1.00727,0.77924,3.09410
326,gru_adagrad_sigmoid_ts10_d5,adagrad,sigmoid,10,0.05,1.00596,1.00298,0.77120,3.06789
327,gru_adagrad_sigmoid_ts10_d10,adagrad,sigmoid,10,0.1,1.03822,1.01893,0.78490,3.11995
328,gru_adagrad_sigmoid_ts10_d15,adagrad,sigmoid,10,0.15,1.01895,1.00943,0.77633,3.08743
329,gru_adagrad_sigmoid_ts10_d20,adagrad,sigmoid,10,0.2,1.02315,1.01151,0.77313,3.08074
330,gru_adagrad_sigmoid_ts15_d1,adagrad,sigmoid,15,0.01,0.91093,0.95443,0.74905,2.95745
331,gru_adagrad_sigmoid_ts15_d5,adagrad,sigmoid,15,0.05,0.90392,0.95075,0.74452,2.94180
332,gru_adagrad_sigmoid_ts15_d10,adagrad,sigmoid,15,0.1,0.90115,0.94929,0.74224,2.93462
333,gru_adagrad_sigmoid_ts15_d15,adagrad,sigmoid,15,0.15,0.90201,0.94974,0.74630,2.94661
334,gru_adagrad_sigmoid_ts15_d20,adagrad,sigmoid,15,0.2,0.91374,0.95590,0.75626,2.97678
335,gru_rmsprop_relu_ts5_d1,rmsprop,relu,5,0.01,0.55016,0.74172,0.59911,2.32202
336,gru_rmsprop_relu_ts5_d5,rmsprop,relu,5,0.05,0.33746,0.58092,0.44638,1.75871
337,gru_rmsprop_relu_ts5_d10,rmsprop,relu,5,0.1,0.35348,0.59454,0.46732,1.83662
338,gru_rmsprop_relu_ts5_d15,rmsprop,relu,5,0.15,0.36447,0.60371,0.46654,1.83888
339,gru_rmsprop_relu_ts5_d20,rmsprop,relu,5,0.2,0.38052,0.61686,0.49456,1.93651
340,gru_rmsprop_relu_ts10_d1,rmsprop,relu,10,0.01,0.33573,0.57942,0.44365,1.74090
341,gru_rmsprop_relu_ts10_d5,rmsprop,relu,10,0.05,0.33881,0.58208,0.44745,1.75631
342,gru_rmsprop_relu_ts10_d10,rmsprop,relu,10,0.1,0.34288,0.58556,0.44844,1.76830
343,gru_rmsprop_relu_ts10_d15,rmsprop,relu,10,0.15,0.34663,0.58875,0.45794,1.79944
344,gru_rmsprop_relu_ts10_d20,rmsprop,relu,10,0.2,0.36052,0.60043,0.45232,1.79281
345,gru_rmsprop_relu_ts15_d1,rmsprop,relu,15,0.01,0.41357,0.64310,0.50747,1.96984
346,gru_rmsprop_relu_ts15_d5,rmsprop,relu,15,0.05,0.33800,0.58138,0.43370,1.71828
347,gru_rmsprop_relu_ts15_d10,rmsprop,relu,15,0.1,0.35432,0.59525,0.47768,1.86129
348,gru_rmsprop_relu_ts15_d15,rmsprop,relu,15,0.15,0.41117,0.64123,0.48222,1.91420
349,gru_rmsprop_relu_ts15_d20,rmsprop,relu,15,0.2,0.34892,0.59069,0.44377,1.75844
350,gru_rmsprop_tanh_ts5_d1,rmsprop,tanh,5,0.01,0.32982,0.57430,0.43696,1.71779
351,gru_rmsprop_tanh_ts5_d5,rmsprop,tanh,5,0.05,0.41764,0.64625,0.51534,2.00516
352,gru_rmsprop_tanh_ts5_d10,rmsprop,tanh,5,0.1,0.50352,0.70959,0.57279,2.22039
353,gru_rmsprop_tanh_ts5_d15,rmsprop,tanh,5,0.15,0.40020,0.63261,0.49414,1.92558
354,gru_rmsprop_tanh_ts5_d20,rmsprop,tanh,5,0.2,0.52328,0.72338,0.59038,2.28744
355,gru_rmsprop_tanh_ts10_d1,rmsprop,tanh,10,0.01,0.51131,0.71506,0.58574,2.27112
356,gru_rmsprop_tanh_ts10_d5,rmsprop,tanh,10,0.05,0.34728,0.58930,0.43581,1.72523
357,gru_rmsprop_tanh_ts10_d10,rmsprop,tanh,10,0.1,0.32162,0.56711,0.42335,1.67123
358,gru_rmsprop_tanh_ts10_d15,rmsprop,tanh,10,0.15,0.33612,0.57976,0.43760,1.72095
359,gru_rmsprop_tanh_ts10_d20,rmsprop,tanh,10,0.2,0.37143,0.60945,0.47840,1.86667
360,gru_rmsprop_tanh_ts15_d1,rmsprop,tanh,15,0.01,0.33972,0.58286,0.44992,1.75458
361,gru_rmsprop_tanh_ts15_d5,rmsprop,tanh,15,0.05,0.29793,0.54583,0.40757,1.60737
362,gru_rmsprop_tanh_ts15_d10,rmsprop,tanh,15,0.1,0.30136,0.54896,0.41794,1.63844
363,gru_rmsprop_tanh_ts15_d15,rmsprop,tanh,15,0.15,0.37922,0.61581,0.49100,1.90725
364,gru_rmsprop_tanh_ts15_d20,rmsprop,tanh,15,0.2,0.32436,0.56952,0.43555,1.70465
365,gru_rmsprop_sigmoid_ts5_d1,rmsprop,sigmoid,5,0.01,0.42861,0.65468,0.50511,1.99447
366,gru_rmsprop_sigmoid_ts5_d5,rmsprop,sigmoid,5,0.05,0.66769,0.81712,0.66490,2.57048
367,gru_rmsprop_sigmoid_ts5_d10,rmsprop,sigmoid,5,0.1,0.91209,0.95503,0.79285,3.05677
368,gru_rmsprop_sigmoid_ts5_d15,rmsprop,sigmoid,5,0.15,0.59430,0.77091,0.61330,2.39468
369,gru_rmsprop_sigmoid_ts5_d20,rmsprop,sigmoid,5,0.2,0.94837,0.97384,0.80607,3.11517
370,gru_rmsprop_sigmoid_ts10_d1,rmsprop,sigmoid,10,0.01,0.40469,0.63615,0.48998,1.93136
371,gru_rmsprop_sigmoid_ts10_d5,rmsprop,sigmoid,10,0.05,0.68309,0.82649,0.67492,2.60791
372,gru_rmsprop_sigmoid_ts10_d10,rmsprop,sigmoid,10,0.1,0.48907,0.69933,0.53944,2.13595
373,gru_rmsprop_sigmoid_ts10_d15,rmsprop,sigmoid,10,0.15,0.85017,0.92205,0.75746,2.92418
374,gru_rmsprop_sigmoid_ts10_d20,rmsprop,sigmoid,10,0.2,0.73037,0.85462,0.69110,2.67795
375,gru_rmsprop_sigmoid_ts15_d1,rmsprop,sigmoid,15,0.01,0.76342,0.87374,0.72701,2.79992
376,gru_rmsprop_sigmoid_ts15_d5,rmsprop,sigmoid,15,0.05,0.70722,0.84096,0.69497,2.67661
377,gru_rmsprop_sigmoid_ts15_d10,rmsprop,sigmoid,15,0.1,0.59133,0.76898,0.62180,2.40301
378,gru_rmsprop_sigmoid_ts15_d15,rmsprop,sigmoid,15,0.15,0.49573,0.70408,0.55158,2.15572
379,gru_rmsprop_sigmoid_ts15_d20,rmsprop,sigmoid,15,0.2,1.04266,1.02111,0.85624,3.29131
